BARCODE|CREATED_STAMP
8901063139190|2017-01-02 20:37:11.355
8901595862658|2017-01-02 20:43:23.126
8901023005824|2017-01-02 20:37:23.663
8901030584442|2017-01-02 20:37:31.635
8901719102417|2017-01-02 20:37:37.375
8901361303736|2017-01-02 20:37:43.085
8901300577680|2017-01-02 20:43:51.070
8901063142150|2017-01-02 20:44:00.134
8019063142114|2017-01-02 20:44:07.684
8901063142015|2017-01-02 20:44:10.633
8901088068758|2017-01-02 20:44:14.377
8901030584121|2017-01-02 20:46:23.151
8901030584121|2017-01-02 20:46:23.416
8901314010025|2017-01-02 20:46:56.800
8901190206413|2017-01-02 20:47:02.884
8901030602689|2017-01-02 20:47:06.753
8901725937393|2017-01-02 20:47:12.291
8901725121129|2017-01-16 19:56:06.345
690225101134|2017-01-16 19:56:39.454
690225101134|2017-01-16 19:56:45.018
8904087000194|2017-01-16 19:56:53.382
8901595873241|2017-01-16 19:57:32.343
8901058847529|2017-01-16 19:57:44.501
8904124108869|2017-01-16 19:59:09.621
8901242178101|2017-01-02 20:54:21.630
8901725135447|2017-01-02 20:54:28.151
8901242109303|2017-01-02 20:54:32.831
8906007281980|2017-01-02 20:54:52.924
8901058843590|2017-01-02 20:54:59.429
8901058843590|2017-01-02 20:55:07.135
8901030584121|2017-01-02 20:55:13.594
890103068094|2017-01-02 20:55:18.570
8901684602646|2017-01-02 20:55:26.495
8901058835904|2017-01-02 20:55:38.897
8902188821366|2017-01-02 20:55:43.234
4005808231423|2017-01-02 20:55:47.960
8901030589911|2017-01-02 20:55:54.434
8901030577659|2017-01-02 20:51:37.175
8906055100028|2017-01-02 20:51:40.622
8906011190278|2017-01-02 20:51:46.410
8901052000807|2017-01-02 20:51:53.056
8908006436026|2017-01-02 20:51:56.347
8049038111078|2017-01-02 20:52:27.681
8901030534898|2017-01-02 20:52:45.372
8904063200143|2017-01-02 20:53:15.938
8904063230072|2017-01-02 20:53:33.941
6386323622742|2017-01-02 20:53:39.276
8902188822363|2017-01-02 20:53:41.085
8901725135478|2017-01-02 20:54:09.025
8904124108098|2017-01-17 11:06:44.271
8901063362857|2017-01-02 21:06:44.874
8901491361026|2017-01-17 12:49:31.632
8901030594489|2017-01-02 20:58:51.888
8901042962320|2017-01-02 20:58:55.538
8901063035027|2017-01-02 20:59:06.817
8901063139213|2017-01-02 20:59:11.435
4902430664721|2017-01-02 20:59:30.576
8901030541506|2017-01-02 20:59:45.348
8190058845419|2017-01-02 21:02:59.758
8901063093287|2017-01-02 21:03:03.112
6386323622742|2017-01-02 21:03:06.278
6386323622742|2017-01-02 21:03:06.559
8901248240239|2017-01-02 21:03:38.914
8901058845419|2017-01-02 21:04:12.552
8901063093287|2017-01-02 21:04:15.235
6386323622742|2017-01-02 21:04:18.870
6836323622742|2017-01-02 21:04:19.026
